id,string,number,olddate,boolean
839,card,38900,1997-01-19,1
840,total,71567,1973-09-19,1
841,cut,90658,2009-04-04,1
842,approach,16188,2001-02-08,1
843,speak,30334,1979-12-07,0
844,single,28004,2008-06-11,1
845,everyone,58531,1978-07-01,0
846,star,43220,2004-11-15,0
847,series,66760,1996-09-29,0
848,fight,96963,1981-04-23,0
849,camera,53113,1977-08-09,1
850,age,96442,1982-09-20,1
851,anything,56779,2003-01-21,1
852,so,55335,2014-08-14,0
853,almost,76434,1972-09-02,0
854,nature,39686,1986-08-09,1
855,prove,44039,2020-11-02,1
856,population,24394,1983-01-06,0
857,whole,28093,1984-12-04,1
858,sound,99043,1997-06-30,1
859,like,67340,2004-06-06,1
860,modern,51496,2009-12-20,1
861,could,74908,1981-02-08,1
862,general,63730,1977-05-12,1
863,reflect,80190,2009-08-14,0
864,stay,93162,1971-11-08,1
865,research,59838,1977-12-03,1
866,easy,37175,1997-05-12,1
867,walk,16925,1972-11-02,1
868,at,75507,1974-05-05,1
869,major,75660,1998-03-16,0
870,mention,63650,1997-08-02,0
871,present,82263,1991-10-03,1
872,ten,94674,1991-02-19,1
873,rock,96698,1972-05-30,0
874,lose,64467,1973-06-25,1
875,economy,74428,1970-03-02,1
876,their,61455,2013-06-13,1
877,student,12565,1970-04-17,0
878,after,41909,1975-02-01,0
879,study,85104,2003-02-07,1
880,trial,73571,2003-05-19,0
881,good,17343,2008-07-18,0
882,read,24138,1985-05-12,0
883,rate,21872,1970-09-23,1
884,player,83108,1979-05-17,0
885,measure,18557,1992-01-23,0
886,maintain,37817,1993-08-18,0
887,study,87193,1987-03-28,1
888,president,51640,1982-08-15,1
889,level,86856,2005-08-14,1
890,arm,61658,2022-06-23,0
891,exist,94626,1984-06-25,0
892,reason,90475,2013-07-29,0
893,popular,16119,1975-06-08,0
894,view,64616,1980-08-29,0
895,employee,31253,1976-01-20,0
896,walk,50000,1999-08-17,1
897,to,41891,1985-07-10,0
898,build,43945,1999-09-20,0
899,these,57580,2009-04-09,0
900,brother,49000,1993-07-14,0
901,attorney,89294,1994-01-15,0
902,cut,85522,2011-02-11,0
903,door,13315,1993-06-24,1
904,senior,15367,2018-09-02,0
905,minute,87656,1997-06-03,0
906,technology,86047,2018-06-18,0
907,whatever,45891,1986-06-11,0
908,management,34329,1992-06-01,0
909,Democrat,68142,1999-11-30,0
910,environment,53269,2018-07-21,0
911,bad,39123,1985-11-19,0
912,say,33868,2022-09-03,0
913,rise,35029,1987-05-27,1
914,up,67543,1975-11-20,1
915,arm,16864,1992-03-10,1
916,already,20559,2010-10-01,0
917,take,29894,1973-05-14,1
918,eight,30162,2008-03-29,0
919,set,74468,2003-02-16,1
920,reason,62647,1970-09-10,0
921,already,56769,1994-07-11,1
922,conference,72133,2024-02-06,1
923,road,83854,1984-08-13,0
924,machine,32548,2017-12-30,0
925,scientist,59484,2016-05-17,1
926,similar,22348,1970-06-24,1
927,else,59035,2018-08-01,1
928,camera,99853,1997-04-26,0
929,cause,29431,1988-12-18,1
930,public,83332,1998-02-21,1
931,thought,16864,1971-09-14,1
932,amount,79326,2011-10-06,0
933,try,84211,2011-09-18,0
934,carry,62354,1971-03-17,1
935,somebody,96887,1981-05-22,1
936,like,67373,2012-04-12,0
937,business,75839,1984-09-07,1
938,hair,32379,2006-07-14,0
939,speech,80335,1988-01-25,0
940,poor,86053,2019-03-19,1
941,hit,36215,2020-04-19,0
942,free,11276,1984-09-27,0
943,mother,62890,1979-12-03,0
944,specific,22664,1985-09-09,1
945,their,43817,1995-02-27,0
946,effect,73993,2003-08-26,0
947,help,81519,2009-02-24,1
948,mission,42619,1973-12-18,0
949,this,11155,1975-02-01,0
950,question,96894,2015-07-22,1
951,fire,28157,2023-05-09,1
952,bring,73758,1986-08-10,1
953,act,62537,2011-05-20,1
954,security,91518,1985-11-24,1
955,toward,64106,2008-08-13,0
956,plan,50027,1998-10-10,1
957,since,17831,1987-05-02,1
958,record,77259,2014-08-24,0
959,above,86628,2009-02-15,1
960,her,17954,1986-03-25,1
961,particularly,88881,1980-07-08,0
962,medical,89790,1998-06-25,0
963,course,15257,1970-07-13,0
964,economy,42493,1999-04-22,1
965,power,31112,2005-12-12,1
966,community,78152,1982-07-07,0
967,Democrat,94907,1998-03-18,1
968,today,69901,2007-10-05,1
969,take,80352,1988-04-08,0
970,thus,55394,2009-10-03,1
971,fall,51437,2013-01-09,1
972,wall,33542,1976-05-12,0
973,south,19715,1996-08-22,1
974,officer,54214,2014-05-11,1
975,project,89825,2006-12-23,1
976,full,33648,2009-06-15,1
977,begin,20188,2020-05-25,1
978,instead,79187,1990-01-23,1
979,return,85538,1984-05-06,1
980,forward,20926,1992-09-11,0
981,first,18265,1977-07-14,0
982,everybody,83217,1985-06-30,0
983,away,57539,1981-02-07,0
984,movie,41074,2012-09-05,0
985,good,88490,1979-01-01,0
986,rule,71490,1984-10-12,0
987,director,63142,2000-03-15,1
988,whatever,26635,2010-12-29,0
989,enjoy,27538,2014-08-10,0
990,cost,79184,1978-03-01,0
991,goal,77873,1980-07-11,1
992,body,68946,2019-06-24,0
993,investment,47209,1986-07-16,1
994,claim,90028,1994-10-24,1
995,Republican,75848,1979-06-28,1
996,candidate,96021,2004-04-21,1
997,he,61413,2010-01-18,0
998,hour,71410,1994-11-20,1
999,can,13381,1984-08-17,1
1000,size,11837,2007-02-27,1
